pot,plant,experiment,nematode,foliage,root,month,bait
1,alfalfa,1,0,negative,negative,1,no
2,alfalfa,1,0,negative,negative,1,no
3,alfalfa,1,0,negative,negative,1,no
4,alfalfa,1,0,negative,negative,1,no
5,alfalfa,1,0,negative,negative,1,no
6,castle,1,13,negative,negative,1,no
7,castle,1,20,negative,negative,1,no
8,castle,1,0,negative,negative,1,no
9,burbank,1,0,negative,positive,1,no
10,burbank,1,0,negative,negative,1,no
11,burbank,1,0,negative,negative,1,no
12,tobacco,1,0,negative,positive,1,no
13,tobacco,1,0,positive,positive,1,no
14,tobacco,1,0,positive,positive,1,no
15,tobacco,1,0,positive,positive,1,no
16,tobacco,1,0,positive,positive,1,no
17,alfalfa,1,8,positive,negative,1,no
18,alfalfa,1,0,positive,negative,1,no
19,alfalfa,1,0,positive,negative,1,no
20,alfalfa,1,0,negative,negative,1,no
21,alfalfa,1,7,negative,negative,1,no
22,castle,1,15,negative,positive,1,no
23,castle,1,0,negative,negative,1,no
24,castle,1,5,negative,negative,1,no
25,burbank,1,0,negative,positive,1,no
26,burbank,1,0,negative,positive,1,no
27,burbank,1,0,negative,positive,1,no
28,tobacco,1,7,positive,positive,1,no
29,tobacco,1,0,positive,positive,1,no
30,tobacco,1,4,positive,positive,1,no
31,tobacco,1,50,positive,positive,1,no
32,tobacco,1,10,positive,positive,1,no
1,alfalfa,1,50,negative,positive,3,yes
2,alfalfa,1,0,negative,negative,3,yes
3,alfalfa,1,0,negative,negative,3,yes
4,alfalfa,1,0,negative,negative,3,yes
5,alfalfa,1,456,negative,negative,3,yes
6,alfalfa,1,0,negative,negative,3,no
7,alfalfa,1,0,negative,negative,3,no
8,alfalfa,1,60,negative,negative,3,no
9,alfalfa,1,0,negative,negative,3,no
10,alfalfa,1,0,negative,negative,3,no
11,tobacco,1,414,positive,positive,3,no
12,tobacco,1,360,positive,positive,3,no
13,tobacco,1,64,positive,positive,3,no
14,tobacco,1,468,positive,positive,3,no
15,tobacco,1,270,positive,positive,3,no
16,burbank,1,0,negative,negative,3,yes
17,burbank,1,0,positive,positive,3,yes
18,burbank,1,15,positive,positive,3,yes
19,burbank,1,0,negative,positive,3,no
20,burbank,1,0,negative,positive,3,no
21,burbank,1,20,negative,negative,3,no
22,castle,1,414,negative,negative,3,yes
23,castle,1,0,negative,negative,3,yes
24,castle,1,0,negative,negative,3,yes
25,castle,1,42,negative,negative,3,no
26,castle,1,0,negative,negative,3,no
27,castle,1,0,negative,negative,3,no
28,castle,1,126,negative,negative,3,no
29,castle,1,60,negative,negative,3,no
30,castle,1,24,negative,negative,3,no
31,castle,1,0,negative,negative,3,no
32,castle,1,0,negative,negative,3,no
33,alfalfa,1,150,negative,negative,3,yes
34,alfalfa,1,0,negative,negative,3,yes
35,alfalfa,1,0,negative,negative,3,yes
36,alfalfa,1,0,negative,negative,3,yes
37,alfalfa,1,22,negative,negative,3,yes
38,alfalfa,1,0,negative,negative,3,no
39,alfalfa,1,144,negative,negative,3,no
40,alfalfa,1,10,negative,negative,3,no
41,alfalfa,1,600,negative,negative,3,no
42,alfalfa,1,450,negative,negative,3,no
43,tobacco,1,810,positive,positive,3,no
44,tobacco,1,1118,positive,positive,3,no
45,tobacco,1,720,positive,positive,3,no
46,tobacco,1,2184,positive,positive,3,no
47,tobacco,1,800,positive,positive,3,no
48,burbank,1,54,positive,positive,3,yes
49,burbank,1,100,positive,positive,3,yes
50,burbank,1,69,negative,positive,3,yes
51,burbank,1,75,negative,negative,3,no
52,burbank,1,0,negative,negative,3,no
53,burbank,1,25,negative,negative,3,no
54,castle,1,522,negative,negative,3,yes
55,castle,1,132,negative,negative,3,yes
56,castle,1,870,negative,negative,3,yes
57,castle,1,57,negative,negative,3,no
58,castle,1,100,negative,negative,3,no
59,castle,1,19,negative,negative,3,no
60,castle,1,380,negative,negative,3,no
61,castle,1,264,negative,negative,3,no
62,castle,1,46,negative,negative,3,no
63,castle,1,600,negative,negative,3,no
64,castle,1,200,negative,positive,3,no
1,alfalfa,1,26,negative,positive,2,yes
2,alfalfa,1,10,negative,positive,2,yes
3,alfalfa,1,0,negative,positive,2,yes
4,alfalfa,1,88,negative,negative,2,yes
5,alfalfa,1,0,negative,negative,2,yes
6,alfalfa,1,0,negative,negative,2,no
7,alfalfa,1,0,negative,negative,2,no
8,alfalfa,1,0,negative,negative,2,no
9,alfalfa,1,0,negative,negative,2,no
10,alfalfa,1,34,negative,negative,2,no
11,tobacco,1,870,positive,positive,2,no
12,tobacco,1,450,positive,positive,2,no
13,tobacco,1,104,positive,positive,2,no
14,tobacco,1,545,positive,positive,2,no
15,tobacco,1,160,positive,positive,2,no
16,burbank,1,0,positive,positive,2,yes
17,burbank,1,20,positive,positive,2,yes
18,burbank,1,24,positive,positive,2,yes
19,burbank,1,31,positive,positive,2,no
20,burbank,1,0,positive,positive,2,no
21,burbank,1,0,positive,positive,2,no
22,castle,1,224,negative,negative,2,yes
23,castle,1,270,negative,negative,2,yes
24,castle,1,198,negative,negative,2,yes
25,castle,1,126,positive,negative,2,no
26,castle,1,0,negative,negative,2,no
27,castle,1,0,negative,negative,2,no
28,alfalfa,1,360,negative,negative,2,yes
29,alfalfa,1,90,negative,negative,2,yes
30,alfalfa,1,150,negative,negative,2,yes
31,alfalfa,1,72,negative,negative,2,yes
32,alfalfa,1,450,negative,negative,2,yes
33,alfalfa,1,56,negative,negative,2,no
34,alfalfa,1,20,negative,negative,2,no
35,alfalfa,1,0,negative,negative,2,no
36,alfalfa,1,0,negative,negative,2,no
37,alfalfa,1,0,negative,negative,2,no
38,tobacco,1,324,positive,positive,2,no
39,tobacco,1,51,positive,positive,2,no
40,tobacco,1,540,positive,positive,2,no
41,tobacco,1,594,positive,positive,2,no
42,tobacco,1,1080,positive,positive,2,no
43,burbank,1,0,negative,negative,2,yes
44,burbank,1,70,positive,positive,2,yes
45,burbank,1,288,positive,positive,2,yes
46,burbank,1,85,negative,positive,2,no
47,burbank,1,20,negative,positive,2,no
48,burbank,1,21,negative,positive,2,no
49,castle,1,1248,negative,negative,2,yes
50,castle,1,810,negative,negative,2,yes
51,castle,1,900,negative,negative,2,yes
52,castle,1,20,negative,negative,2,no
53,castle,1,0,negative,negative,2,no
54,castle,1,10,negative,negative,2,no
1,alfalfa,1,288,negative,negative,4,yes
2,alfalfa,1,138,negative,negative,4,yes
3,alfalfa,1,924,negative,negative,4,yes
4,alfalfa,1,30,negative,negative,4,yes
5,alfalfa,1,20,negative,negative,4,yes
6,tobacco,1,900,positive,positive,4,no
7,tobacco,1,240,positive,positive,4,no
8,tobacco,1,756,positive,positive,4,no
9,tobacco,1,1360,positive,positive,4,no
